Kelembapan,Suhu,EC,pH,Label
21.53,25.75,61,6.36,Jagung
21.53,25.75,61,6.32,Jagung
21.53,25.75,61,6.32,Jagung
22.24,25.75,61,6.32,Jagung
21.80,25.75,61,6.32,Jagung
21.53,25.75,61,6.32,Jagung
21.80,25.75,61,6.32,Jagung
21.53,25.75,61,6.32,Jagung
21.80,25.75,61,6.32,Jagung
21.44,25.75,61,6.32,Jagung
21.71,25.75,61,6.32,Jagung
21.80,25.75,61,6.32,Jagung
21.53,25.75,61,6.32,Jagung
21.71,25.75,61,6.32,Jagung
21.80,25.75,61,6.32,Jagung
21.71,25.75,61,6.32,Jagung
21.53,25.75,61,6.32,Jagung
21.53,25.75,61,6.32,Jagung
21.71,25.75,61,6.32,Jagung
21.71,25.75,61,6.32,Jagung
21.35,25.75,61,6.32,Jagung
21.53,25.75,61,6.32,Jagung
21.71,25.75,61,6.28,Jagung
21.53,25.75,61,6.28,Jagung
21.89,25.75,61,6.28,Jagung
21.53,25.75,61,6.28,Jagung
21.26,25.75,61,6.28,Jagung
21.53,25.75,61,6.28,Jagung
21.53,25.75,61,6.28,Jagung
21.53,25.75,61,6.28,Jagung
21.71,25.75,61,6.28,Jagung
22.69,22.90,56,6.70,Rosemari
22.51,22.90,56,6.57,Rosemari
22.51,22.82,56,6.57,Rosemari
22.60,22.82,56,6.57,Rosemari
23.58,22.74,56,6.53,Rosemari
22.78,22.74,56,6.53,Rosemari
23.31,22.74,56,6.53,Rosemari
22.69,22.66,56,6.49,Rosemari
22.60,22.66,56,6.49,Rosemari
23.85,22.74,56,6.49,Rosemari
22.69,22.66,56,6.49,Rosemari
22.78,22.66,56,6.49,Rosemari
22.78,22.66,56,6.45,Rosemari
22.78,22.66,56,6.45,Rosemari
22.60,22.66,56,6.45,Rosemari
22.51,22.66,56,6.45,Rosemari
22.96,22.66,56,6.45,Rosemari
22.87,22.57,56,6.45,Rosemari
22.69,22.57,56,6.45,Rosemari
22.78,22.57,56,6.45,Rosemari
23.58,22.57,56,6.45,Rosemari
22.69,22.57,56,6.40,Rosemari
23.22,22.57,56,6.40,Rosemari
22.51,22.57,56,6.40,Rosemari
22.60,22.57,56,6.40,Rosemari
23.58,22.66,56,6.40,Rosemari
22.96,22.66,56,6.40,Rosemari
22.78,22.57,56,6.40,Rosemari
22.78,22.57,56,6.40,Rosemari
23.67,22.57,56,6.40,Rosemari
22.78,22.57,56,6.40,Rosemari
20.11,25.67,74,6.61,Selada
19.93,25.67,74,6.57,Selada
19.66,25.59,74,6.57,Selada
20.37,25.51,74,6.49,Selada
20.19,25.51,74,6.49,Selada
19.75,25.42,74,6.49,Selada
19.66,25.42,74,6.45,Selada
20.02,25.42,74,6.40,Selada
19.48,25.42,74,6.40,Selada
20.19,25.42,74,6.40,Selada
20.28,25.34,74,6.40,Selada
20.19,25.42,74,6.36,Selada
20.02,25.42,74,6.36,Selada
19.84,25.34,74,6.36,Selada
20.37,25.34,74,6.36,Selada
20.02,25.34,74,6.36,Selada
20.11,25.34,74,6.36,Selada
20.02,25.34,74,6.36,Selada
19.93,25.34,74,6.32,Selada
20.37,25.34,74,6.32,Selada
20.64,25.34,74,6.32,Selada
20.64,25.34,74,6.32,Selada
19.75,25.34,74,6.32,Selada
20.46,25.34,74,6.32,Selada
20.19,25.34,74,6.32,Selada
20.19,25.34,74,6.32,Selada
19.75,25.34,74,6.28,Selada
19.93,25.34,74,6.28,Selada
19.84,25.34,74,6.28,Selada
19.75,25.34,74,6.28,Selada
22.78,22.90,56,6.53,Jeruk
22.96,22.82,56,6.49,Jeruk
22.96,22.74,56,6.40,Jeruk
23.58,22.66,56,6.40,Jeruk
22.96,22.66,56,6.40,Jeruk
22.96,22.57,56,6.40,Jeruk
22.69,22.57,56,6.36,Jeruk
22.78,22.49,56,6.36,Jeruk
22.87,22.49,56,6.36,Jeruk
22.78,22.49,56,6.32,Jeruk
23.31,22.41,56,6.32,Jeruk
23.58,22.41,56,6.32,Jeruk
23.05,22.41,56,6.32,Jeruk
22.96,22.41,56,6.32,Jeruk
23.31,22.41,56,6.28,Jeruk
22.87,22.41,56,6.28,Jeruk
23.22,22.41,56,6.28,Jeruk
23.31,22.41,56,6.28,Jeruk
23.31,22.41,56,6.28,Jeruk
23.58,22.33,56,6.28,Jeruk
24.03,22.41,56,6.28,Jeruk
22.78,22.41,56,6.28,Jeruk
24.11,22.33,56,6.28,Jeruk
22.96,22.41,56,6.24,Jeruk
22.96,22.33,56,6.24,Jeruk
22.87,22.33,56,6.24,Jeruk
23.31,22.41,56,6.24,Jeruk
22.96,22.33,56,6.24,Jeruk
22.96,22.33,56,6.24,Jeruk
23.31,22.33,56,6.24,Jeruk
23.05,22.33,56,6.24,Jeruk
22.15,24.20,75,6.36,Cabe
22.33,24.12,75,6.36,Cabe
22.33,24.12,75,6.36,Cabe
22.60,24.12,75,6.32,Cabe
21.80,24.04,75,6.32,Cabe
22.51,24.12,75,6.32,Cabe
22.33,24.04,75,6.28,Cabe
22.42,24.04,75,6.28,Cabe
22.87,24.04,75,6.28,Cabe
21.89,24.04,75,6.24,Cabe
21.89,24.04,75,6.24,Cabe
22.15,24.04,75,6.24,Cabe
22.15,23.96,75,6.24,Cabe
22.33,24.04,75,6.24,Cabe
22.15,23.96,75,6.24,Cabe
22.24,24.04,75,6.19,Cabe
22.15,24.04,75,6.19,Cabe
21.89,23.96,75,6.19,Cabe
22.33,24.04,75,6.19,Cabe
21.89,24.04,75,6.15,Cabe
22.15,23.96,75,6.15,Cabe
22.33,24.04,75,6.15,Cabe
21.80,24.04,75,6.15,Cabe
21.89,23.96,75,6.11,Cabe
22.42,24.04,75,6.11,Cabe
22.51,24.04,75,6.11,Cabe
21.80,23.96,75,6.11,Cabe
22.15,23.96,75,6.11,Cabe
21.80,24.04,75,6.11,Cabe
22.42,23.96,75,6.07,Cabe
22.42,24.04,75,6.07,Cabe
19.84,25.42,70,6.45,Pakcoi
20.37,25.42,70,6.40,Pakcoi
19.66,25.42,70,6.40,Pakcoi
20.37,25.42,70,6.40,Pakcoi
20.19,25.42,70,6.40,Pakcoi
20.19,25.42,70,6.40,Pakcoi
19.93,25.42,70,6.36,Pakcoi
20.46,25.42,70,6.36,Pakcoi
19.93,25.42,70,6.36,Pakcoi
20.37,25.42,70,6.36,Pakcoi
19.75,25.42,70,6.36,Pakcoi
20.28,25.42,70,6.36,Pakcoi
20.46,25.42,70,6.36,Pakcoi
20.19,25.42,70,6.36,Pakcoi
20.02,25.42,70,6.32,Pakcoi
20.11,25.42,70,6.32,Pakcoi
19.75,25.42,70,6.32,Pakcoi
20.37,25.42,70,6.32,Pakcoi
19.93,25.42,70,6.32,Pakcoi
20.19,25.42,70,6.32,Pakcoi
20.46,25.42,70,6.32,Pakcoi
20.28,25.42,70,6.32,Pakcoi
20.37,25.42,70,6.32,Pakcoi
20.64,25.42,70,6.32,Pakcoi
20.02,25.42,70,6.32,Pakcoi
20.46,25.42,70,6.32,Pakcoi
19.75,25.42,70,6.32,Pakcoi
20.55,25.34,70,6.32,Pakcoi
20.55,25.42,70,6.32,Pakcoi
19.66,25.42,70,6.32,Pakcoi
25.00,20.50,66,7.00,Tomat
24.63,20.60,66,7.00,Tomat
24.63,20.60,66,6.68,Tomat
24.58,20.60,66,6.68,Tomat
24.58,20.50,66,6.68,Tomat
24.58,20.50,66,6.68,Tomat
24.58,20.50,66,6.60,Tomat
24.58,20.50,66,6.60,Tomat
24.53,20.50,66,6.60,Tomat
24.58,20.50,66,6.60,Tomat
24.58,20.50,66,6.50,Tomat
24.58,20.60,66,6.50,Tomat
24.53,20.50,66,6.50,Tomat
24.51,20.50,66,6.50,Tomat
24.63,20.50,66,6.50,Tomat
24.63,20.60,66,6.50,Tomat
24.58,20.60,66,6.50,Tomat
24.58,20.50,66,6.50,Tomat
24.58,20.50,66,6.50,Tomat
24.58,20.50,66,6.38,Tomat
24.53,20.50,66,6.38,Tomat
24.58,20.50,66,6.38,Tomat
24.58,20.50,66,6.38,Tomat
24.58,20.50,66,6.38,Tomat
24.53,20.50,66,6.38,Tomat
24.51,20.50,66,6.38,Tomat
25.00,20.50,66,6.38,Tomat
24.83,20.50,66,6.38,Tomat
24.83,20.50,66,6.38,Tomat
25.00,20.50,66,6.38,Tomat
